user_id,date,app_name,app_category,minutes_used,notifications,context_switches,focus_minutes,focus_rating,focus_efficiency,distraction_intensity,focus_rating_norm,rolling_focus_7d
U0001,2025-01-01,Spotify,Entertainment,85.8,1,3,132,4,1.52074,0.0225564,0.8,132
U0001,2025-01-01,YouTube,Entertainment,50.6,3,0,132,5,2.55814,0,1,132
U0001,2025-01-01,Instagram,Social,29.1,4,2,132,4.5,4.38538,0.0150376,0.9,132
U0001,2025-01-01,Chrome,Productivity,46.2,0,2,132,4.5,2.79661,0.0150376,0.9,132
U0001,2025-01-01,WhatsApp,Social,3.9,4,5,132,3.3,26.9388,0.037594,0.66,132
U0001,2025-01-01,Gmail,Productivity,19.3,2,7,132,1.8,6.50246,0.0526316,0.36,132
U0001,2025-01-02,WhatsApp,Social,80.1,7,1,38,3.9,0.468557,0.025641,0.78,118.571
U0001,2025-01-02,Gmail,Productivity,13,1,2,38,4,2.71429,0.0512821,0.8,105.143
U0001,2025-01-02,YouTube,Entertainment,34.9,2,3,38,3.8,1.0585,0.0769231,0.76,91.7143
U0001,2025-01-02,Spotify,Entertainment,30.2,4,5,38,2.8,1.21795,0.128205,0.56,78.2857
U0001,2025-01-02,Chrome,Productivity,81.8,2,2,38,3.8,0.458937,0.0512821,0.76,64.8571
U0001,2025-01-02,Instagram,Social,29.9,1,4,38,3,1.22977,0.102564,0.6,51.4286
U0001,2025-01-03,YouTube,Entertainment,163.8,2,3,189,4.4,1.14684,0.0157895,0.88,59.5714
U0001,2025-01-03,Instagram,Social,23.7,7,0,189,5,7.65182,0,1,81.1429
U0001,2025-01-03,Chrome,Productivity,74.5,1,3,189,3.4,2.50331,0.0157895,0.68,102.714
U0001,2025-01-03,Gmail,Productivity,88.7,5,3,189,3.9,2.10702,0.0157895,0.78,124.286
U0001,2025-01-03,Spotify,Entertainment,34.5,3,3,189,3.1,5.32394,0.0157895,0.62,145.857
U0001,2025-01-03,WhatsApp,Social,69.5,5,3,189,4.7,2.68085,0.0157895,0.94,167.429
U0001,2025-01-04,Instagram,Social,25.5,5,4,223,2.7,8.41509,0.0178571,0.54,193.857
U0001,2025-01-04,Spotify,Entertainment,62,2,8,223,1.9,3.53968,0.0357143,0.38,198.714
U0001,2025-01-04,Gmail,Productivity,48.7,1,1,223,5,4.48692,0.00446429,1,203.571
U0001,2025-01-04,YouTube,Entertainment,24.4,5,3,223,3.3,8.77953,0.0133929,0.66,208.429
U0001,2025-01-04,WhatsApp,Social,59.1,3,6,223,2.4,3.71048,0.0267857,0.48,213.286
U0001,2025-01-04,Chrome,Productivity,73.8,4,3,223,4,2.98128,0.0133929,0.8,218.143
U0001,2025-01-05,YouTube,Entertainment,60.5,1,2,154,4.1,2.50407,0.0129032,0.82,213.143
U0001,2025-01-05,Chrome,Productivity,72.7,0,4,154,4.2,2.08955,0.0258065,0.84,203.286
U0001,2025-01-05,Spotify,Entertainment,31.1,1,1,154,4.9,4.79751,0.00645161,0.98,193.429
U0001,2025-01-05,Gmail,Productivity,63.5,2,3,154,3.8,2.3876,0.0193548,0.76,183.571
U0001,2025-01-05,WhatsApp,Social,30.5,3,2,154,4.1,4.88889,0.0129032,0.82,173.714
U0001,2025-01-05,Instagram,Social,8.3,3,3,154,3.8,16.5591,0.0193548,0.76,163.857
U0001,2025-01-06,WhatsApp,Social,95.3,4,3,33,4,0.342679,0.0882353,0.8,136.714
U0001,2025-01-06,Chrome,Productivity,12.1,1,3,33,3.6,2.51908,0.0882353,0.72,119.429
U0001,2025-01-06,Spotify,Entertainment,227.1,1,2,33,4.4,0.144673,0.0588235,0.88,102.143
U0001,2025-01-06,Instagram,Social,69.6,11,2,33,3.9,0.467422,0.0588235,0.78,84.8571
U0001,2025-01-06,Gmail,Productivity,39.8,2,2,33,4,0.808824,0.0588235,0.8,67.5714
U0001,2025-01-06,YouTube,Entertainment,15.7,3,3,33,3.3,1.97605,0.0882353,0.66,50.2857
U0001,2025-01-07,Gmail,Productivity,79.2,0,6,210,3,2.61845,0.028436,0.6,58.2857
U0001,2025-01-07,Spotify,Entertainment,70.2,2,3,210,3.8,2.94944,0.014218,0.76,83.5714
U0001,2025-01-07,Instagram,Social,51.1,4,1,210,4.9,4.03071,0.00473934,0.98,108.857
U0001,2025-01-07,Chrome,Productivity,43.2,0,1,210,5,4.75113,0.00473934,1,134.143
U0001,2025-01-07,WhatsApp,Social,50.5,8,4,210,3.2,4.07767,0.0189573,0.64,159.429
U0001,2025-01-07,YouTube,Entertainment,96.9,0,2,210,4,2.14505,0.00947867,0.8,184.714
U0001,2025-01-08,Instagram,Social,49,2,2,41,3.5,0.82,0.047619,0.7,185.857
U0001,2025-01-08,Gmail,Productivity,21.2,2,1,41,2.9,1.84685,0.0238095,0.58,161.714
U0001,2025-01-08,WhatsApp,Social,11.2,2,4,41,3.5,3.36066,0.0952381,0.7,137.571
U0001,2025-01-08,Spotify,Entertainment,127.5,4,1,41,4.2,0.319066,0.0238095,0.84,113.429
U0001,2025-01-08,Chrome,Productivity,81.6,4,4,41,3.6,0.496368,0.0952381,0.72,89.2857
U0001,2025-01-08,YouTube,Entertainment,28.9,1,1,41,4.3,1.37124,0.0238095,0.86,65.1429
U0001,2025-01-09,Gmail,Productivity,4.9,0,2,288,4.1,48.8136,0.00692042,0.82,76.2857
U0001,2025-01-09,WhatsApp,Social,71.3,6,1,288,4,3.9834,0.00346021,0.8,111.571
U0001,2025-01-09,Chrome,Productivity,59.3,3,1,288,4.3,4.77612,0.00346021,0.86,146.857
U0001,2025-01-09,YouTube,Entertainment,101.3,3,4,288,3.4,2.81525,0.0138408,0.68,182.143
U0001,2025-01-09,Spotify,Entertainment,23.9,0,2,288,4.2,11.5663,0.00692042,0.84,217.429
U0001,2025-01-09,Instagram,Social,35.9,6,4,288,2.5,7.80488,0.0138408,0.5,252.714
U0001,2025-01-10,Chrome,Productivity,112.1,2,4,286,3.1,2.52874,0.0139373,0.62,287.714
U0001,2025-01-10,Gmail,Productivity,47.8,5,5,286,3.1,5.86066,0.0174216,0.62,287.429
U0001,2025-01-10,Instagram,Social,37.1,8,1,286,5,7.50656,0.00348432,1,287.143
U0001,2025-01-10,Spotify,Entertainment,15.8,1,1,286,5,17.0238,0.00348432,1,286.857
U0001,2025-01-10,WhatsApp,Social,62.6,4,4,286,3.6,4.49686,0.0139373,0.72,286.571
U0001,2025-01-10,YouTube,Entertainment,58.7,0,3,286,3.4,4.79062,0.010453,0.68,286.286
U0001,2025-01-11,Gmail,Productivity,32.2,3,3,30,4.6,0.903614,0.0967742,0.92,249.429
U0001,2025-01-11,WhatsApp,Social,46,4,2,30,4.4,0.638298,0.0645161,0.88,212.857
U0001,2025-01-11,YouTube,Entertainment,69.8,3,4,30,3.5,0.423729,0.129032,0.7,176.286
U0001,2025-01-11,Chrome,Productivity,32.1,3,4,30,3.4,0.906344,0.129032,0.68,139.714
U0001,2025-01-11,Spotify,Entertainment,113.8,4,3,30,4,0.261324,0.0967742,0.8,103.143
U0001,2025-01-11,Instagram,Social,115.6,4,1,30,4.3,0.25729,0.0322581,0.86,66.5714
U0001,2025-01-12,Spotify,Entertainment,30.9,2,2,152,4.9,4.76489,0.0130719,0.98,47.4286
U0001,2025-01-12,Instagram,Social,56.3,4,4,152,3.4,2.6527,0.0261438,0.68,64.8571
U0001,2025-01-12,Gmail,Productivity,26,2,6,152,2.8,5.62963,0.0392157,0.56,82.2857
U0001,2025-01-12,YouTube,Entertainment,39.5,4,2,152,4.6,3.75309,0.0130719,0.92,99.7143
U0001,2025-01-12,Chrome,Productivity,66.3,0,1,152,4.4,2.25854,0.00653595,0.88,117.143
U0001,2025-01-12,WhatsApp,Social,49.9,4,2,152,4.8,2.98625,0.0130719,0.96,134.571
U0001,2025-01-13,Chrome,Productivity,118.1,1,1,209,4.2,1.75483,0.0047619,0.84,160.143
U0001,2025-01-13,YouTube,Entertainment,38.7,2,3,209,5,5.26448,0.0142857,1,168.286
U0001,2025-01-13,Instagram,Social,12.1,4,3,209,3.4,15.9542,0.0142857,0.68,176.429
U0001,2025-01-13,WhatsApp,Social,18.2,6,4,209,2.8,10.8854,0.0190476,0.56,184.571
U0001,2025-01-13,Spotify,Entertainment,25.2,0,2,209,3.6,7.9771,0.00952381,0.72,192.714
U0001,2025-01-13,Gmail,Productivity,67.9,3,3,209,3,3.03338,0.0142857,0.6,200.857
U0001,2025-01-14,WhatsApp,Social,124,7,3,31,3.6,0.248,0.09375,0.72,183.571
U0001,2025-01-14,Chrome,Productivity,27,2,5,31,3.2,1.10714,0.15625,0.64,158.143
U0001,2025-01-14,Spotify,Entertainment,39.9,0,2,31,4.6,0.757946,0.0625,0.92,132.714
U0001,2025-01-14,Instagram,Social,118.8,4,5,31,3.1,0.258765,0.15625,0.62,107.286
U0001,2025-01-14,Gmail,Productivity,39.8,4,3,31,3.9,0.759804,0.09375,0.78,81.8571
U0001,2025-01-14,YouTube,Entertainment,20.5,1,5,31,2.5,1.44186,0.15625,0.5,56.4286
U0001,2025-01-15,WhatsApp,Social,64.3,9,2,230,4.4,3.52221,0.00865801,0.88,59.4286
U0001,2025-01-15,Chrome,Productivity,49.7,2,8,230,1.1,4.53649,0.034632,0.22,87.8571
U0001,2025-01-15,YouTube,Entertainment,61,2,2,230,4.2,3.70968,0.00865801,0.84,116.286
U0001,2025-01-15,Gmail,Productivity,7.7,3,1,230,4.6,26.4368,0.004329,0.92,144.714
U0001,2025-01-15,Spotify,Entertainment,59.8,0,3,230,4,3.78289,0.012987,0.8,173.143
U0001,2025-01-15,Instagram,Social,50.6,2,3,230,4,4.45736,0.012987,0.8,201.571
U0001,2025-01-16,Gmail,Productivity,58.7,1,3,125,3.6,2.0938,0.0238095,0.72,215
U0001,2025-01-16,Spotify,Entertainment,27.5,0,6,125,2.2,4.38596,0.047619,0.44,200
U0001,2025-01-16,Instagram,Social,82.9,10,2,125,3.5,1.48987,0.015873,0.7,185
U0001,2025-01-16,WhatsApp,Social,50.6,5,4,125,3.5,2.42248,0.031746,0.7,170
U0001,2025-01-16,YouTube,Entertainment,21.5,1,0,125,5,5.55556,0,1,155
U0001,2025-01-16,Chrome,Productivity,59.5,1,1,125,4.9,2.06612,0.00793651,0.98,140
U0001,2025-01-17,Chrome,Productivity,59.6,2,4,58,3.7,0.957096,0.0677966,0.74,115.429
U0001,2025-01-17,Instagram,Social,62.9,7,3,58,4.1,0.907668,0.0508475,0.82,105.857
U0001,2025-01-17,WhatsApp,Social,53,11,2,58,3.9,1.07407,0.0338983,0.78,96.2857
U0001,2025-01-17,YouTube,Entertainment,19,3,4,58,3.5,2.9,0.0677966,0.7,86.7143
U0001,2025-01-17,Spotify,Entertainment,143.3,0,6,58,2.7,0.40194,0.101695,0.54,77.1429
U0001,2025-01-17,Gmail,Productivity,56.5,2,3,58,4,1.0087,0.0508475,0.8,67.5714
U0001,2025-01-18,Chrome,Productivity,16.9,0,4,36,4.2,2.01117,0.108108,0.84,54.8571
U0001,2025-01-18,WhatsApp,Social,50.9,7,5,36,2.9,0.693642,0.135135,0.58,51.7143
U0001,2025-01-18,Spotify,Entertainment,104.2,1,2,36,3.5,0.342205,0.0540541,0.7,48.5714
U0001,2025-01-18,YouTube,Entertainment,87.5,3,3,36,4,0.40678,0.0810811,0.8,45.4286
U0001,2025-01-18,Instagram,Social,29.6,4,3,36,3.8,1.17647,0.0810811,0.76,42.2857
U0001,2025-01-18,Gmail,Productivity,39.9,5,4,36,2.8,0.880196,0.108108,0.56,39.1429
U0001,2025-01-19,WhatsApp,Social,52,2,7,75,1.8,1.41509,0.0921053,0.36,41.5714
U0001,2025-01-19,YouTube,Entertainment,35.9,1,4,75,3.4,2.03252,0.0526316,0.68,47.1429
U0001,2025-01-19,Instagram,Social,43.2,2,2,75,3.6,1.69683,0.0263158,0.72,52.7143
